Country,Degree,Betweenness,Closeness
All (Mean),0.28219614660292641,0.0063403217991178226,0.58825722168759131
All (Median),0.23076923076923078,0.000613847388321229,0.5625
All (Std Dev),0.21594329519798811,0.017610996661563932,0.089579003526655973
All (Min),0.0085470085470085479,0,0.41489361702127658
All (Max),0.94017094017094027,0.15122888810623397,0.94354838709677424
United States,0.98076923076923084,0.092421544055178453,0.98113207547169812
United Kingdom,0.9423076923076924,0.073826194830798428,0.94545454545454544
China,0.79807692307692313,0.032875451928672278,0.832
India,0.78846153846153855,0.033653552732300536,0.82539682539682535
Canada,0.75961538461538469,0.028011446840390562,0.80620155038759689
